Index	First	Last	Suffix	Team	Position
L BEL RB PIT	Le'Veon	Bell		PIT	RB
T GUR RB LAR	Todd	Gurley	II	LAR	RB
D JOH RB ARI	David	Johnson		ARI	RB
E ELL RB DAL	Ezekiel	Elliott		DAL	RB
A BRO WR PIT	Antonio	Brown		PIT	WR
S BAR RB NYG	Saquon	Barkley		NYG	RB
A KAM RB NO	Alvin	Kamara		NO	RB
J JON WR ATL	Julio	Jones		ATL	WR
O BEC WR NYG	Odell	Beckham	Jr.	NYG	WR
D HOP WR HOU	DeAndre	Hopkins		HOU	WR
K HUN RB KC	Kareem	Hunt		KC	RB
L FOU RB JAC	Leonard	Fournette		JAC	RB
D COO RB MIN	Dalvin	Cook		MIN	RB
M GOR RB LAC	Melvin	Gordon		LAC	RB
K ALL WR LAC	Keenan	Allen		LAC	WR
M THO WR NO	Michael	Thomas		NO	WR
D FRE RB ATL	Devonta	Freeman		ATL	RB
A GRE WR CIN	A.J.	Green		CIN	WR
C MCC RB CAR	Christian	McCaffrey		CAR	RB
R GRO TE NE	Rob	Gronkowski		NE	TE
D ADA WR GB	Davante	Adams		GB	WR
M EVA WR TB	Mike	Evans		TB	WR
L MCC RB BUF	LeSean	McCoy		BUF	RB
T HIL WR IND	T.Y.	Hilton		IND	WR
A THI WR MIN	Adam	Thielen		MIN	WR
S DIG WR MIN	Stefon	Diggs		MIN	WR
T HIL WR KC	Tyreek	Hill		KC	WR
L FIT WR ARI	Larry	Fitzgerald		ARI	WR
T KEL TE KC	Travis	Kelce		KC	TE
Z ERT TE PHI	Zach	Ertz		PHI	TE
A ROB WR CHI	Allen	Robinson		CHI	WR
D BAL WR SEA	Doug	Baldwin		SEA	WR
A COO WR OAK	Amari	Cooper		OAK	WR
J GOR WR CLE	Josh	Gordon		CLE	WR
M JON WR DET	Marvin	Jones	Jr.	DET	WR
J HOW RB CHI	Jordan	Howard		CHI	RB
J MCK RB SF	Jerick	McKinnon		SF	RB
J MIX RB CIN	Joe	Mixon		CIN	RB
D THO WR DEN	Demaryius	Thomas		DEN	WR
A JEF WR PHI	Alshon	Jeffery		PHI	WR
B COO WR LAR	Brandin	Cooks		LAR	WR
G TAT WR DET	Golden	Tate		DET	WR
K DRA RB MIA	Kenyan	Drake		MIA	RB
D HEN RB TEN	Derrick	Henry		TEN	RB
A COL RB BAL	Alex	Collins		BAL	RB
J AJA RB PHI	Jay	Ajayi		PHI	RB
R FRE RB DEN	Royce	Freeman		DEN	RB
R JON RB TB	Ronald	Jones	II	TB	RB
M LYN RB OAK	Marshawn	Lynch		OAK	RB
L MIL RB HOU	Lamar	Miller		HOU	RB
J LAN WR CLE	Jarvis	Landry		CLE	WR
J SMI WR PIT	JuJu	Smith-Schuster		PIT	WR
C HOG WR NE	Chris	Hogan		NE	WR
E SAN WR DEN	Emmanuel	Sanders		DEN	WR
D LEW RB TEN	Dion	Lewis		TEN	RB
A ROD QB GB	Aaron	Rodgers		GB	QB
T BRA QB NE	Tom	Brady		NE	QB
M ING RB NO	Mark	Ingram		NO	RB
I CRO RB NYJ	Isaiah	Crowell		NYJ	RB
R BUR RB NE	Rex	Burkhead		NE	RB
C CAR RB SEA	Chris	Carson		SEA	RB
C DAV WR TEN	Corey	Davis		TEN	WR
S WAT WR KC	Sammy	Watkins		KC	WR
D FUN WR CAR	Devin	Funchess		CAR	WR
R WOO WR LAR	Robert	Woods		LAR	WR
C NEW QB CAR	Cam	Newton		CAR	QB
C WEN QB PHI	Carson	Wentz		PHI	QB
R WIL QB SEA	Russell	Wilson		SEA	QB
D WAT QB HOU	Deshaun	Watson		HOU	QB
R AND WR NYJ	Robby	Anderson		NYJ	WR
M CRA WR BAL	Michael	Crabtree		BAL	WR
M GOO WR SF	Marquise	Goodwin		SF	WR
C KUP WR LAR	Cooper	Kupp		LAR	WR
W FUL WR HOU	Will	Fuller	V	HOU	WR
R COB WR GB	Randall	Cobb		GB	WR
K BEN WR BUF	Kelvin	Benjamin		BUF	WR
G OLS TE CAR	Greg	Olsen		CAR	TE
D WAL TE TEN	Delanie	Walker		TEN	TE
E ENG TE NYG	Evan	Engram		NYG	TE
D JOH RB CLE	Duke	Johnson	Jr.	CLE	RB
K STI WR MIA	Kenny	Stills		MIA	WR
J DOC WR WAS	Josh	Doctson		WAS	WR
K JOH RB DET	Kerryon	Johnson		DET	RB
J GRA TE GB	Jimmy	Graham		GB	TE
R PEN RB SEA	Rashaad	Penny		SEA	RB
T COL RB ATL	Tevin	Coleman		ATL	RB
J WIL RB GB	Jamaal	Williams		GB	RB
P GAR WR SF	Pierre	Garcon		SF	WR
J EDE WR NE	Julian	Edelman		NE	WR
J REE TE WAS	Jordan	Reed		WAS	TE
S SHE WR NYG	Sterling	Shepard		NYG	WR
J NEL WR OAK	Jordy	Nelson		OAK	WR
J CRO WR WAS	Jamison	Crowder		WAS	WR
C THO RB WAS	Chris	Thompson		WAS	RB
C HYD RB CLE	Carlos	Hyde		CLE	RB
S MIC RB NE	Sony	Michel		NE	RB
M MAC RB IND	Marlon	Mack		IND	RB
C AND RB CAR	C.J.	Anderson		CAR	RB
K RUD TE MIN	Kyle	Rudolph		MIN	TE
T MON RB GB	Ty	Montgomery		GB	RB
M LEE WR JAC	Marqise	Lee		JAC	WR
K GOL WR DET	Kenny	Golladay		DET	WR
D PAR WR MIA	DeVante	Parker		MIA	WR
A HUR WR DAL	Allen	Hurns		DAL	WR
N AGH WR PHI	Nelson	Agholor		PHI	WR
R MAT WR TEN	Rishard	Matthews		TEN	WR
N CHU RB CLE	Nick	Chubb		CLE	RB
T COH RB CHI	Tarik	Cohen		CHI	RB
J WIL RB IND	Jordan	Wilkins		IND	RB
T BUR TE CHI	Trey	Burton		CHI	TE
D NJO TE CLE	David	Njoku		CLE	TE
J HIL RB NE	Jeremy	Hill		NE	RB
G BER RB CIN	Giovani	Bernard		CIN	RB
J WHI RB NE	James	White		NE	RB
T LOC WR SEA	Tyler	Lockett		SEA	WR
M SAN WR ATL	Mohamed	Sanu		ATL	WR
A LUC QB IND	Andrew	Luck		IND	QB
B ROE QB PIT	Ben	Roethlisberger		PIT	QB
K COU QB MIN	Kirk	Cousins		MIN	QB
J DOY TE IND	Jack	Doyle		IND	TE
C MER WR NO	Cameron	Meredith		NO	WR
P RIC WR WAS	Paul	Richardson		WAS	WR
D JAC WR TB	DeSean	Jackson		TB	WR
D MOO WR CAR	D.J.	Moore		CAR	WR
M GAL WR DAL	Michael	Gallup		DAL	WR
C GOD WR TB	Chris	Godwin		TB	WR
M STA QB DET	Matthew	Stafford		DET	QB
D BRE QB NO	Drew	Brees		NO	QB
C RID WR ATL	Calvin	Ridley		ATL	WR
J ROS WR CIN	John	Ross		CIN	WR
D AME WR MIA	Danny	Amendola		MIA	WR
D BRY WR FA	Dez	Bryant		FA	WR
C CLA TE BUF	Charles	Clay		BUF	TE
M RYA QB ATL	Matt	Ryan		ATL	QB
P MAH QB KC	Patrick	Mahomes		KC	QB
T EIF TE CIN	Tyler	Eifert		CIN	TE
P RIV QB LAC	Philip	Rivers		LAC	QB
J GAR QB SF	Jimmy	Garoppolo		SF	QB
A SMI QB WAS	Alex	Smith		WAS	QB
M MAR QB TEN	Marcus	Mariota		TEN	QB
J BRO WR BAL	John	Brown		BAL	WR
A MIL WR CHI	Anthony	Miller		CHI	WR
J WAS WR PIT	James	Washington		PIT	WR
C SUT WR DEN	Courtland	Sutton		DEN	WR
D MON WR JAC	Donte	Moncrief		JAC	WR
M WIL WR LAC	Mike	Williams		LAC	WR
D BOO RB DEN	Devontae	Booker		DEN	RB
L MUR RB MIN	Latavius	Murray		MIN	RB
T RID RB DET	Theo	Riddick		DET	RB
N HIN RB IND	Nyheim	Hines		IND	RB
R KEL RB WAS	Rob	Kelley		WAS	RB
S PER RB WAS	Samaje	Perine		WAS	RB
D MAR RB OAK	Doug	Martin		OAK	RB
M BRE RB SF	Matt	Breida		SF	RB
C CLE RB PHI	Corey	Clement		PHI	RB
DEF JAC				JAC	DEF
G KIT TE SF	George	Kittle		SF	TE
M WAL WR PHI	Mike	Wallace		PHI	WR
R GRA WR IND	Ryan	Grant		IND	WR
K COL WR JAC	Keelan	Cole		JAC	WR
A JON RB GB	Aaron	Jones		GB	RB
D PRE QB DAL	Dak	Prescott		DAL	QB
J GOF QB LAR	Jared	Goff		LAR	QB
A SEF TE JAC	Austin	Seferian-Jenkins		JAC	TE
E DEC WR NE	Eric	Decker		NE	WR
V MCD TE PIT	Vance	McDonald		PIT	TE
P BAR RB TB	Peyton	Barber		TB	RB
T TAY QB CLE	Tyrod	Taylor		CLE	QB
Q ENU WR NYJ	Quincy	Enunwa		NYJ	WR
DEF PHI				PHI	DEF
DEF LAR				LAR	DEF
DEF MIN				MIN	DEF
DEF BAL				BAL	DEF
DEF HOU				HOU	DEF
G ZUE K LAR	Greg	Zuerlein		LAR	K
S GOS K NE	Stephen	Gostkowski		NE	K
J TUC K BAL	Justin	Tucker		BAL	K
DEF NE				NE	DEF
DEF LAC				LAC	DEF
DEF DEN				DEN	DEF
DEF NO				NO	DEF
DEF TEN				TEN	DEF
DEF CAR				CAR	DEF
M BRY K ATL	Matt	Bryant		ATL	K
W LUT K NO	Wil	Lutz		NO	K
C BOS K PIT	Chris	Boswell		PIT	K
R GOU K SF	Robbie	Gould		SF	K
J ELL K PHI	Jake	Elliott		PHI	K
M PRA K DET	Matt	Prater		DET	K
H BUT K KC	Harrison	Butker		KC	K
A VIN K IND	Adam	Vinatieri		IND	K
G GAN K CAR	Graham	Gano		CAR	K
L BLO RB DET	LeGarrette	Blount		DET	RB
J ALL RB BAL	Javorius	Allen		BAL	RB
B POW RB NYJ	Bilal	Powell		NYJ	RB
C BRA TE TB	Cameron	Brate		TB	TE
B WAT TE NO	Benjamin	Watson		NO	TE
A HOO TE ATL	Austin	Hooper		ATL	TE
K DIX RB BAL	Kenneth	Dixon		BAL	RB
D SPR RB PHI	Darren	Sproles		PHI	RB
C EDM RB ARI	Chase	Edmonds		ARI	RB
D FOR RB HOU	D'Onta	Foreman		HOU	RB
C IVO RB BUF	Chris	Ivory		BUF	RB
A EKE RB LAC	Austin	Ekeler		LAC	RB
S WAR RB KC	Spencer	Ware		KC	RB
F GOR RB MIA	Frank	Gore		MIA	RB
E MCG RB NYJ	Elijah	McGuire		NYJ	RB
J STE RB NYG	Jonathan	Stewart		NYG	RB
J CON RB PIT	James	Conner		PIT	RB
O HOW TE TB	O.J.	Howard		TB	TE
J COO TE OAK	Jared	Cook		OAK	TE
M TRU QB CHI	Mitchell	Trubisky		CHI	QB
C KIR WR ARI	Christian	Kirk		ARI	WR
C BEA WR DAL	Cole	Beasley		DAL	WR
M BRY WR OAK	Martavis	Bryant		OAK	WR
T GIN WR NO	Ted	Ginn	Jr.	NO	WR
T BOY WR CIN	Tyler	Boyd		CIN	WR
T TAY WR TEN	Taywan	Taylor		TEN	WR
A DAL QB CIN	Andy	Dalton		CIN	QB
R TAN QB MIA	Ryan	Tannehill		MIA	QB
DEF WAS				WAS	DEF
DEF ARI				ARI	DEF
D BAI K DAL	Dan	Bailey		DAL	K
R SUC K TEN	Ryan	Succop		TEN	K
A WIL WR MIA	Albert	Wilson		MIA	WR
T WIL WR DAL	Terrance	Williams		DAL	WR
W SNE WR BAL	Willie	Snead		BAL	WR
T WIL WR LAC	Tyrell	Williams		LAC	WR
B MAR WR SEA	Brandon	Marshall		SEA	WR
T BEN WR LAC	Travis	Benjamin		LAC	WR
T PRY WR NYJ	Terrelle	Pryor	Sr.	NYJ	WR
A CAL WR CLE	Antonio	Callaway		CLE	WR
C COL WR BUF	Corey	Coleman		BUF	WR
J KEA WR NYJ	Jermaine	Kearse		NYJ	WR
R SMI RB DAL	Rod	Smith		DAL	RB
T YEL RB JAC	T.J.	Yeldon		JAC	RB
J KEL RB LAR	John	Kelly		LAR	RB
C GRA RB JAC	Corey	Grant		JAC	RB
A BLU RB HOU	Alfred	Blue		HOU	RB
C PRO RB SEA	C.J.	Prosise		SEA	RB
M WAL RB CIN	Mark	Walton		CIN	RB
T AUS RB DAL	Tavon	Austin		DAL	RB
E MAN QB NYG	Eli	Manning		NYG	QB
D CAR QB OAK	Derek	Carr		OAK	QB
J WIN QB TB	Jameis	Winston		TB	QB
E EBR TE IND	Eric	Ebron		IND	TE
M GES TE MIA	Mike	Gesicki		MIA	TE
R SEA TE ARI	Ricky	Seals-Jones		ARI	TE
A GAT TE FA	Antonio	Gates		FA	TE
W GAL RB NYG	Wayne	Gallman		NYG	RB
G ALL WR GB	Geronimo	Allison		GB	WR
J MOO WR GB	J'Mon	Moore		GB	WR
DEF ATL				ATL	DEF
DEF DAL				DAL	DEF
D CAR K MIN	Daniel	Carlson		MIN	K
M CRO K GB	Mason	Crosby		GB	K
H HUR TE BAL	Hayden	Hurst		BAL	TE
R GRI TE HOU	Ryan	Griffin		HOU	TE
V GRE TE LAC	Virgil	Green		LAC	TE
M VAL WR GB	Marquez	Valdes-Scantling		GB	WR
E ST. WR GB	Equanimeous	St.	Brown	GB	WR
Z JON WR BUF	Zay	Jones		BUF	WR
A HUM WR TB	Adam	Humphries		TB	WR
J WIL RB SF	Joe	Williams		SF	RB
C SIM RB TB	Charles	Sims		TB	RB
C KEE QB DEN	Case	Keenum		DEN	QB
B BOR QB JAC	Blake	Bortles		JAC	QB
J FLA QB BAL	Joe	Flacco		BAL	QB
S DAR QB NYJ	Sam	Darnold		NYJ	QB
S BRA QB ARI	Sam	Bradford		ARI	QB
K COU WR HOU	Keke	Coutee		HOU	WR
D CHA WR JAC	D.J.	Chark		JAC	WR
R SWI WR OAK	Ryan	Switzer		OAK	WR
D HAM WR DEN	DaeSean	Hamilton		DEN	WR
T SMI WR NO	Tre'Quan	Smith		NO	WR
D HEN RB DEN	De'Angelo	Henderson		DEN	RB
K BAL RB MIA	Kalen	Ballage		MIA	RB
T WES RB NO	Terrance	West		NO	RB
B SCO RB NO	Boston	Scott		NO	RB
J SAM RB PIT	Jaylen	Samuels		PIT	RB
D WIL RB KC	Damien	Williams		KC	RB
T LOG RB ARI	T.J.	Logan		ARI	RB
J JAC RB LAC	Justin	Jackson		LAC	RB
C SAM WR CAR	Curtis	Samuel		CAR	WR
DEF GB				GB	DEF
DEF CHI				CHI	DEF
J LAM K JAC	Josh	Lambo		JAC	K
D HOP K WAS	Dustin	Hopkins		WAS	K
J BUT TE DEN	Jake	Butt		DEN	TE
V DAV TE WAS	Vernon	Davis		WAS	TE
T KRO TE CIN	Tyler	Kroft		CIN	TE
B JAR TE DAL	Blake	Jarwin		DAL	TE
G EVE TE LAR	Gerald	Everett		LAR	TE
T GAB WR CHI	Taylor	Gabriel		CHI	WR
D WES WR JAC	Dede	Westbrook		JAC	WR
A MCC QB BUF	AJ	McCarron		BUF	QB
DEF CIN				CIN	DEF
DEF DET				DET	DEF
DEF KC				KC	DEF
DEF SEA				SEA	DEF
