Rank, Player	Pos	Team	PosRank
1. Le'Veon Bell	RB	PIT	RB1
2. Todd Gurley II	RB	LAR	RB2
3. David Johnson	RB	ARI	RB3
4. Ezekiel Elliott	RB	DAL	RB4
5. Antonio Brown	WR	PIT	WR1
6. Saquon Barkley	RB	NYG	RB5
7. Alvin Kamara	RB	NO	RB6
8. Julio Jones	WR	ATL	WR2
9. Odell Beckham Jr.	WR	NYG	WR3
10. DeAndre Hopkins	WR	HOU	WR4
11. Kareem Hunt	RB	KC	RB7
12. Leonard Fournette	RB	JAC	RB8
13. Dalvin Cook	RB	MIN	RB9
14. Melvin Gordon	RB	LAC	RB10
15. Keenan Allen	WR	LAC	WR5
16. Michael Thomas	WR	NO	WR6
17. Devonta Freeman	RB	ATL	RB11
18. A.J. Green	WR	CIN	WR7
19. Christian McCaffrey	RB	CAR	RB12
20. Rob Gronkowski	TE	NE	TE1
21. Davante Adams	WR	GB	WR8
22. Mike Evans	WR	TB	WR9
23. LeSean McCoy	RB	BUF	RB13
24. T.Y. Hilton	WR	IND	WR10
25. Adam Thielen	WR	MIN	WR11
26. Stefon Diggs	WR	MIN	WR12
27. Tyreek Hill	WR	KC	WR13
28. Larry Fitzgerald	WR	ARI	WR14
29. Travis Kelce	TE	KC	TE2
30. Zach Ertz	TE	PHI	TE3
31. Allen Robinson	WR	CHI	WR15
32. Doug Baldwin	WR	SEA	WR16
33. Amari Cooper	WR	OAK	WR17
34. Josh Gordon	WR	CLE	WR18
35. Marvin Jones Jr.	WR	DET	WR19
36. Jordan Howard	RB	CHI	RB14
37. Jerick McKinnon	RB	SF	RB15
38. Joe Mixon	RB	CIN	RB16
39. Demaryius Thomas	WR	DEN	WR20
40. Alshon Jeffery	WR	PHI	WR21
41. Brandin Cooks	WR	LAR	WR22
42. Golden Tate	WR	DET	WR23
43. Kenyan Drake	RB	MIA	RB17
44. Derrick Henry	RB	TEN	RB18
45. Alex Collins	RB	BAL	RB19
46. Jay Ajayi	RB	PHI	RB20
47. Royce Freeman	RB	DEN	RB21
48. Ronald Jones II	RB	TB	RB22
49. Marshawn Lynch	RB	OAK	RB23
50. Lamar Miller	RB	HOU	RB24
51. Jarvis Landry	WR	CLE	WR24
52. JuJu Smith-Schuster	WR	PIT	WR25
53. Chris Hogan	WR	NE	WR26
54. Emmanuel Sanders	WR	DEN	WR27
55. Dion Lewis	RB	TEN	RB25
56. Aaron Rodgers	QB	GB	QB1
57. Tom Brady	QB	NE	QB2
58. Mark Ingram	RB	NO	RB26
59. Isaiah Crowell	RB	NYJ	RB27
60. Rex Burkhead	RB	NE	RB28
61. Chris Carson	RB	SEA	RB29
62. Corey Davis	WR	TEN	WR28
63. Sammy Watkins	WR	KC	WR29
64. Devin Funchess	WR	CAR	WR30
65. Robert Woods	WR	LAR	WR31
66. Cam Newton	QB	CAR	QB3
67. Carson Wentz	QB	PHI	QB4
68. Russell Wilson	QB	SEA	QB5
69. Deshaun Watson	QB	HOU	QB6
70. Robby Anderson	WR	NYJ	WR32
71. Michael Crabtree	WR	BAL	WR33
72. Marquise Goodwin	WR	SF	WR34
73. Cooper Kupp	WR	LAR	WR35
74. Will Fuller V	WR	HOU	WR36
75. Randall Cobb	WR	GB	WR37
76. Kelvin Benjamin	WR	BUF	WR38
77. Greg Olsen	TE	CAR	TE4
78. Delanie Walker	TE	TEN	TE5
79. Evan Engram	TE	NYG	TE6
80. Duke Johnson Jr.	RB	CLE	RB30
81. Kenny Stills	WR	MIA	WR39
82. Josh Doctson	WR	WAS	WR40
83. Kerryon Johnson	RB	DET	RB31
84. Jimmy Graham	TE	GB	TE7
85. Rashaad Penny	RB	SEA	RB32
86. Tevin Coleman	RB	ATL	RB33
87. Jamaal Williams	RB	GB	RB34
88. Pierre Garcon	WR	SF	WR41
89. Julian Edelman	WR	NE	WR42
90. Jordan Reed	TE	WAS	TE8
91. Sterling Shepard	WR	NYG	WR43
92. Jordy Nelson	WR	OAK	WR44
93. Jamison Crowder	WR	WAS	WR45
94. Chris Thompson	RB	WAS	RB35
95. Carlos Hyde	RB	CLE	RB36
96. Sony Michel	RB	NE	RB37
97. Marlon Mack	RB	IND	RB38
98. C.J. Anderson	RB	CAR	RB39
99. Kyle Rudolph	TE	MIN	TE9
100. Ty Montgomery	RB	GB	RB40
101. Marqise Lee	WR	JAC	WR46
102. Kenny Golladay	WR	DET	WR47
103. DeVante Parker	WR	MIA	WR48
104. Allen Hurns	WR	DAL	WR49
105. Nelson Agholor	WR	PHI	WR50
106. Rishard Matthews	WR	TEN	WR51
107. Nick Chubb	RB	CLE	RB41
108. Tarik Cohen	RB	CHI	RB42
109. Jordan Wilkins	RB	IND	RB43
110. Trey Burton	TE	CHI	TE10
111. David Njoku	TE	CLE	TE11
112. Jeremy Hill	RB	NE	RB44
113. Giovani Bernard	RB	CIN	RB45
114. James White	RB	NE	RB46
115. Tyler Lockett	WR	SEA	WR52
116. Mohamed Sanu	WR	ATL	WR53
117. Andrew Luck	QB	IND	QB7
118. Ben Roethlisberger	QB	PIT	QB8
119. Kirk Cousins	QB	MIN	QB9
120. Jack Doyle	TE	IND	TE12
121. Cameron Meredith	WR	NO	WR54
122. Paul Richardson	WR	WAS	WR55
123. DeSean Jackson	WR	TB	WR56
124. D.J. Moore	WR	CAR	WR57
125. Michael Gallup	WR	DAL	WR58
126. Chris Godwin	WR	TB	WR59
127. Matthew Stafford	QB	DET	QB10
128. Drew Brees	QB	NO	QB11
129. Calvin Ridley	WR	ATL	WR60
130. John Ross	WR	CIN	WR61
131. Danny Amendola	WR	MIA	WR62
132. Dez Bryant	WR	FA	WR63
133. Charles Clay	TE	BUF	TE13
134. Matt Ryan	QB	ATL	QB12
135. Patrick Mahomes	QB	KC	QB13
136. Tyler Eifert	TE	CIN	TE14
137. Philip Rivers	QB	LAC	QB14
138. Jimmy Garoppolo	QB	SF	QB15
139. Alex Smith	QB	WAS	QB16
140. Marcus Mariota	QB	TEN	QB17
141. John Brown	WR	BAL	WR64
142. Anthony Miller	WR	CHI	WR65
143. James Washington	WR	PIT	WR66
144. Courtland Sutton	WR	DEN	WR67
145. Donte Moncrief	WR	JAC	WR68
146. Mike Williams	WR	LAC	WR69
147. Devontae Booker	RB	DEN	RB47
148. Latavius Murray	RB	MIN	RB48
149. Theo Riddick	RB	DET	RB49
150. Nyheim Hines	RB	IND	RB50
151. Rob Kelley	RB	WAS	RB51
152. Samaje Perine	RB	WAS	RB52
153. Doug Martin	RB	OAK	RB53
154. Matt Breida	RB	SF	RB54
155. Corey Clement	RB	PHI	RB55
156. Jaguars D/ST	DST	JAC	DST1
157. George Kittle	TE	SF	TE15
158. Mike Wallace	WR	PHI	WR70
159. Ryan Grant	WR	IND	WR71
160. Keelan Cole	WR	JAC	WR72
161. Aaron Jones	RB	GB	RB56
162. Dak Prescott	QB	DAL	QB18
163. Jared Goff	QB	LAR	QB19
164. Austin Seferian-Jenkins	TE	JAC	TE16
165. Eric Decker	WR	NE	WR73
166. Vance McDonald	TE	PIT	TE17
167. Peyton Barber	RB	TB	RB57
168. Tyrod Taylor	QB	CLE	QB20
169. Quincy Enunwa	WR	NYJ	WR74
170. Eagles D/ST	DST	PHI	DST2
171. Rams D/ST	DST	LAR	DST3
172. Vikings D/ST	DST	MIN	DST4
173. Texans D/ST	DST	BAL	DST5
174. Ravens D/ST	DST	HOU	DST6
175. Greg Zuerlein	K	LAR	K1
176. Stephen Gostkowski	K	NE	K2
177. Justin Tucker	K	BAL	K3
178. Patriots D/ST	DST	NE	DST7
179. Chargers D/ST	DST	LAC	DST8
180. Broncos D/ST	DST	DEN	DST9
181. Saints D/ST	DST	NO	DST10
182. Titans D/ST	DST	TEN	DST11
183. Panthers D/ST	DST	CAR	DST12
184. Matt Bryant	K	ATL	K4
185. Wil Lutz	K	NO	K5
186. Chris Boswell	K	PIT	K6
187. Robbie Gould	K	SF	K7
188. Jake Elliott	K	PHI	K8
189. Matt Prater	K	DET	K9
190. Harrison Butker	K	KC	K10
191. Adam Vinatieri	K	IND	K11
192. Graham Gano	K	CAR	K12
193. LeGarrette Blount	RB	DET	RB58
194. Javorius Allen	RB	BAL	RB59
195. Bilal Powell	RB	NYJ	RB60
196. Cameron Brate	TE	TB	TE18
197. Benjamin Watson	TE	NO	TE19
198. Austin Hooper	TE	ATL	TE20
199. Kenneth Dixon	RB	BAL	RB61
200. Darren Sproles	RB	PHI	RB62
201. Chase Edmonds	RB	ARI	RB63
202. D'Onta Foreman	RB	HOU	RB64
203. Chris Ivory	RB	BUF	RB65
204. Austin Ekeler	RB	LAC	RB66
205. Spencer Ware	RB	KC	RB67
206. Frank Gore	RB	MIA	RB68
207. Elijah McGuire	RB	NYJ	RB69
208. Jonathan Stewart	RB	NYG	RB70
209. James Conner	RB	PIT	RB71
210. O.J. Howard	TE	TB	TE21
211. Jared Cook	TE	OAK	TE22
212. Mitchell Trubisky	QB	CHI	QB21
213. Christian Kirk	WR	ARI	WR75
214. Cole Beasley	WR	DAL	WR76
215. Martavis Bryant	WR	OAK	WR77
216. Ted Ginn Jr.	WR	NO	WR78
217. Tyler Boyd	WR	CIN	WR79
218. Taywan Taylor	WR	TEN	WR80
219. Andy Dalton	QB	CIN	QB22
220. Ryan Tannehill	QB	MIA	QB23
221. Redskins D/ST	DST	WAS	DST13
222. Cardinals D/ST	DST	ARI	DST14
223. Dan Bailey	K	DAL	K13
224. Ryan Succop	K	TEN	K14
225. Albert Wilson	WR	MIA	WR81
226. Terrance Williams	WR	DAL	WR82
227. Willie Snead	WR	BAL	WR83
228. Tyrell Williams	WR	LAC	WR84
229. Brandon Marshall	WR	SEA	WR85
230. Travis Benjamin	WR	LAC	WR86
231. Terrelle Pryor Sr.	WR	NYJ	WR87
232. Antonio Callaway	WR	CLE	WR88
233. Corey Coleman	WR	BUF	WR89
234. Jermaine Kearse	WR	NYJ	WR90
235. Rod Smith	RB	DAL	RB72
236. T.J. Yeldon	RB	JAC	RB73
237. John Kelly	RB	LAR	RB74
238. Corey Grant	RB	JAC	RB75
239. Alfred Blue	RB	HOU	RB76
240. C.J. Prosise	RB	SEA	RB77
241. Mark Walton	RB	CIN	RB78
242. Tavon Austin	RB	DAL	RB79
243. Eli Manning	QB	NYG	QB24
244. Derek Carr	QB	OAK	QB25
245. Jameis Winston	QB	TB	QB26
246. Eric Ebron	TE	IND	TE23
247. Mike Gesicki	TE	MIA	TE24
248. Ricky Seals-Jones	TE	ARI	TE25
249. Antonio Gates	TE	FA	TE26
250. Wayne Gallman	RB	NYG	RB80
251. Geronimo Allison	WR	GB	WR91
252. J'Mon Moore	WR	GB	WR92
253. Falcons D/ST	DST	ATL	DST15
254. Cowboys D/ST	DST	DAL	DST16
255. Daniel Carlson	K	MIN	K15
256. Mason Crosby	K	GB	K16
257. Hayden Hurst	TE	BAL	TE27
258. Ryan Griffin	TE	HOU	TE28
259. Virgil Green	TE	LAC	TE29
260. Marquez Valdes-Scantling	WR	GB	WR93
261. Equanimeous St. Brown	WR	GB	WR94
262. Zay Jones	WR	BUF	WR95
263. Adam Humphries	WR	TB	WR96
264. Joe Williams	RB	SF	RB81
265. Charles Sims	RB	TB	RB82
266. Case Keenum	QB	DEN	QB27
267. Blake Bortles	QB	JAC	QB28
268. Joe Flacco	QB	BAL	QB29
269. Sam Darnold	QB	NYJ	QB30
270. Sam Bradford	QB	ARI	QB31
271. Keke Coutee	WR	HOU	WR97
272. D.J. Chark	WR	JAC	WR98
273. Ryan Switzer	WR	OAK	WR99
274. DaeSean Hamilton	WR	DEN	WR100
275. Tre'Quan Smith	WR	NO	WR101
276. De'Angelo Henderson	RB	DEN	RB83
277. Kalen Ballage	RB	MIA	RB84
278. Terrance West	RB	NO	RB85
279. Boston Scott	RB	NO	RB86
280. Jaylen Samuels	RB	PIT	RB87
281. Damien Williams	RB	KC	RB88
282. T.J. Logan	RB	ARI	RB89
283. Justin Jackson	RB	LAC	RB90
284. Curtis Samuel	WR	CAR	WR102
285. Packers D/ST	DST	GB	DST17
286. Bears D/ST	DST	CHI	DST18
287. Josh Lambo	K	JAC	K17
288. Dustin Hopkins	K	WAS	K18
289. Jake Butt	TE	DEN	TE30
290. Vernon Davis	TE	WAS	TE31
291. Tyler Kroft	TE	CIN	TE32
292. Blake Jarwin	TE	DAL	TE33
293. Gerald Everett	TE	LAR	TE34
294. Taylor Gabriel	WR	CHI	WR103
295. Dede Westbrook	WR	JAC	WR104
296. AJ McCarron	QB	BUF	QB32
297. Bengals D/ST	DST	CIN	DST19
298. Lions D/ST	DST	DET	DST20
299. Chiefs D/ST	DST	KC	DST21
300. Seahawks D/ST	DST	SEA	DST22
