Index	First	Last	Team	Position	ESPNRank	FPRank	Std Dev	Injury Status	Blurb
D PAR WR MIA	DeVante	Parker	MIA	WR	103	105.0	20.1	Questionable for Week 1	Rough camp even before broken finger. Questionable for Week 1.
D JOH RB CLE	Duke	Johnson	CLE	RB	80	106.0	23.9		Has averaged 7.9 & 9.8 touches/game in 2 years with Hue Jackson. 
C AND RB CAR	C.J.	Anderson	CAR	RB	98	107.0	27.1		
A HUR WR DAL	Allen	Hurns	DAL	WR	104	108.0	24.5	Day to Day	
J GAR QB SF	Jimmy	Garoppolo	SF	QB	138	109.0	12.9		Was overall QB6 w/ depleted pass-catcher corps in five ‘17 starts.
M LEE WR JAC	Marqise	Lee	JAC	WR	101	110.0	27.8		6.7 targets/game last 2 years. High-floor, low-ceiling WR4/flex pick. 
P MAH QB KC	Patrick	Mahomes	KC	QB	135	111.0	16.1		Handed keys to high-powered offense on probable shootout team. 
R MAT WR TEN	Rishard	Matthews	TEN	WR	106	112.0	24.6	Day to day	Mysterious “undisclosed” injury has shelved him since spring. 
K GOL WR DET	Kenny	Golladay	DET	WR	102	113.0	22.3		6-of-28 rookie catches gained 30+ yards. Will play much bigger role. 
C CAR RB SEA	Chris	Carson	SEA	RB	61	114.0	31.3		Penciled in as Seahawks lead back over first-round pick Rashaad Penny. 
D BOO RB DEN	Devontae	Booker	DEN	RB	147	115.0	25.4		Broncos favorite for passing-down RB work behind Royce Freeman.
M RYA QB ATL	Matt	Ryan	ATL	QB	134	116.0	17.5		2016 MVP coming off down ’17. One of my favorite bounce-back QBs. 
D NJO TE CLE	David	Njoku	CLE	TE	111	117.0	17.9		Had Kelce-like skill set coming out of The U. 2 TDs in preseason opener.
P BAR RB TB	Peyton	Barber	TB	RB	167	118.0	25.3		Non-sexy early-down/goal-line RB remains ahead of Ronald Jones.
A SMI QB WAS	Alex	Smith	WAS	QB	139	119.0	12.8		
J DOY TE IND	Jack	Doyle	IND	TE	120	120.0	32.0		Coming off 80-catch season. Andrew Luck’s return enhances his upside. 
J GOF QB LAR	Jared	Goff	LAR	QB	163	121.0	15.9		5.9% TD rate likely to regress in balanced to run-first Rams offense. 
M MAR QB TEN	Marcus	Mariota	TEN	QB	140	122.0	15.4		Buy-low QB coming off injury-plagued year w/ improved coaching. 
B POW RB NYJ	Bilal	Powell	NYJ	RB	195	123.0	30.6		Powell is headed for big role again after Elijah McGuire’s fractured foot.
T LOC WR SEA	Tyler	Lockett	SEA	WR	115	124.0	18.8	Status uncertain	Seattle missing sixth-most targets in NFL & Doug Baldwin already hurt.
D MOO WR CAR	D.J.	Moore	CAR	WR	124	125.0	22.9		First WR drafted reminded of Golden Tate/Pierre Garcon at Maryland. 
J DOC WR WAS	Josh	Doctson	WAS	WR	82	126.0	16.7		
N CHU RB CLE	Nick	Chubb	CLE	RB	107	127.0	31.7		Rookie likely needs Carlos Hyde injury to become fantasy relevant. 
D JAC WR TB	DeSean	Jackson	TB	WR	123	128.0	29.2		
G BER RB CIN	Giovani	Bernard	CIN	RB	113	129.0	20.7		Avg’d 101.4 total yds/game last Weeks 13-17. Pushing Joe Mixon.
G KIT TE SF	George	Kittle	SF	TE	157	130.0	19.5	Questionable for Week 1	Niners expect him back for Week 1 after suffering separated shoulder.
T MON RB GB	Ty	Montgomery	GB	RB	100	131.0	32.0		On track to open year as Packers No. 2 RB behind Jamaal Williams.
J WHI RB NE	James	White	NE	RB	114	132.0	20.6		Sony Michel knee procedure raises White’s early-season flex appeal.
D PRE QB DAL	Dak	Prescott	DAL	QB	162	133.0	17.4		
T EIF TE CIN	Tyler	Eifert	CIN	TE	136	134.0	27.1		
T WIL WR LAC	Tyrell	Williams	LAC	WR	228	135.0	35.3	Day-to-day	
O HOW TE TB	O.J.	Howard	TB	TE	210	136.0	26.0		Went 21/325/5 over final 27 targets of ’17. Monster ceiling at TE2 cost.
C CLE RB PHI	Corey	Clement	PHI	RB	155	137.0	31.8	Status uncertain	Versatile Super Bowl star is Jay Ajayi injury away from RB1/2 upside. 
L MUR RB MIN	Latavius	Murray	MIN	RB	148	138.0	33.9		Likely to keep significant role with Dalvin Cook coming off torn ACL.
P RIC WR WAS	Paul	Richardson	WAS	WR	122	139.0	24.6		
D BRY WR FA	Dez	Bryant	FA	WR	132	140.0	39.7		
A MIL WR CHI	Anthony	Miller	CHI	WR	142	141.0	16.9		Rookie slot WR ripping up camp. Sleeper to lead Bears in targets.
J COO TE OAK	Jared	Cook	OAK	TE	211	142.0	22.1		Field-stretching tight end caught career-high 54 passes last season. 
M SAN WR ATL	Mohamed	Sanu	ATL	WR	116	143.0	29.8		High-efficiency slot WR needs Julio Jones injury to hit WR3 value.
C MER WR NO	Cameron	Meredith	NO	WR	121	144.0	28.8		Recent missed practices concerning coming off ACL/MCL tears.
M BRE RB SF	Matt	Breida	SF	RB	154	145.0	19.8	Questionable for Week 1	49ers projected No. 2 back done for August with separated shoulder.
A JON RB GB	Aaron	Jones	GB	RB	161	146.0	41.9	Week 3	Packers most explosive RB can’t shake injuries. Sidelined by hamstring. 
J BRO WR BAL	John	Brown	BAL	WR	141	147.0	32.2		Outplaying Crabtree in camp. Can smash ADP with good injury luck. 
C CLA TE BUF	Charles	Clay	BUF	TE	133	148.0	22.5		Has never reached 560 yards or topped 4 TDs in three years with Bills. 
M WIL WR LAC	Mike	Williams	LAC	WR	146	149.0	36.1		
B BOR QB JAC	Blake	Bortles	JAC	QB	267	150.0	17.5		
C BRA TE TB	Cameron	Brate	TB	TE	196	151.0	21.9		
M GAL WR DAL	Michael	Gallup	DAL	WR	125	152.0	23.7		
T RID RB DET	Theo	Riddick	DET	RB	149	153.0	26.7		
T GIN WR NO	Ted	Ginn	NO	WR	216	154.0	29.9		Increasing concern Ginn could lose snaps to rookie Tre’Quan Smith. 
C RID WR ATL	Calvin	Ridley	ATL	WR	129	155.0	26.6		
F GOR RB MIA	Frank	Gore	MIA	RB	206	156.0	22.7		Slated to be 1b to Kenyan Drake’s 1a in Dolphins backfield committee. 
E EBR TE IND	Eric	Ebron	IND	TE	246	157.0	20.7		
DEF JAC			JAC	DEF	156	158.0	33.4		
M TRU QB CHI	Mitchell	Trubisky	CHI	QB	212	159.0	20.6		
L BLO RB DET	LeGarrette	Blount	DET	RB	193	160.0	37.3		
M BRY WR OAK	Martavis	Bryant	OAK	WR	215	161.0	25.6		
C GOD WR TB	Chris	Godwin	TB	WR	126	162.0	33.8		
D CAR QB OAK	Derek	Carr	OAK	QB	244	163.0	18.9		
DEF MIN			MIN	DEF	172	164.0	25.4		
E MAN QB NYG	Eli	Manning	NYG	QB	243	165.0	24.6		
D MAR RB OAK	Doug	Martin	OAK	RB	153	166.0	29.2		
D FOR RB HOU	D'Onta	Foreman	HOU	RB	202	167.0	41.1	Questionable for Week 1	
A DAL QB CIN	Andy	Dalton	CIN	QB	219	168.0	25.4		
R KEL RB WAS	Rob	Kelley	WAS	RB	151	169.0	40.3		Plodding back is favorite for Skins early-down work after Guice ACL tear.
A EKE RB LAC	Austin	Ekeler	LAC	RB	204	170.0	30.6		Explosive change-of-pace back should offer some standalone value. 
M WAL WR PHI	Mike	Wallace	PHI	WR	158	171.0	28.7		
J ROS WR CIN	John	Ross	CIN	WR	130	172.0	40.0		Brandon LaFell release gives Ross some hope of sophomore breakout.
N HIN RB IND	Nyheim	Hines	IND	RB	150	173.0	26.6		
K COL WR JAC	Keelan	Cole	JAC	WR	160	174.0	36.0		
DEF PHI			PHI	DEF	170	175.0	23.3		
Q ENU WR NYJ	Quincy	Enunwa	NYJ	WR	169	176.0	40.5		Sneaky high-volume upside opposite deep threat Robby Anderson.
DEF HOU			HOU	DEF	174	177.0	24.3		
J WIL RB IND	Jordan	Wilkins	IND	RB	109	178.0	25.8		Marlon Mack hurt. Robert Turbin banned. Nyheim Hines struggling.
D MON WR JAC	Donte	Moncrief	JAC	WR	145	179.0	35.7		
C KEE QB DEN	Case	Keenum	DEN	QB	266	180.0	22.7		
B WAT TE NO	Benjamin	Watson	NO	TE	197	181.0	23.4		
D WES WR JAC	Dede	Westbrook	JAC	WR	295	182.0	27.2		
R GRA WR IND	Ryan	Grant	IND	WR	159	183.0	38.9		Reliable possession WR shaping up as Colts No. 2 opposite T.Y. Hilton. 
DEF LAR			LAR	DEF	171	184.0	24.7		
A HOO TE ATL	Austin	Hooper	ATL	TE	198	185.0	20.7		
DEF DEN			DEN	DEF	180	186.0	26.8		
C KIR WR ARI	Christian	Kirk	ARI	WR	213	187.0	30.2		
C IVO RB BUF	Chris	Ivory	BUF	RB	203	188.0	27.9		
R SEA TE ARI	Ricky	Seals-Jones	ARI	TE	248	189.0	30.7		
K DIX RB BAL	Kenneth	Dixon	BAL	RB	199	190.0	39.6		
A SEF TE JAC	Austin	Seferian-Jenkins	JAC	TE	164	191.0	23.5		
DEF LAC			LAC	DEF	179	193.0	23.3		
J KEA WR NYJ	Jermaine	Kearse	NYJ	WR	234	194.0	28.8		
DEF BAL			BAL	DEF	173	195.0	23.4		
DEF SEA			SEA	DEF	300	196.0	40.4		
S GOS K NE	Stephen	Gostkowski	NE	K	176	197.0	27.2		
A WIL WR MIA	Albert	Wilson	MIA	WR	225	198.0	25.6		
D AME WR MIA	Danny	Amendola	MIA	WR	131	199.0	37.0		
T YEL RB JAC	T.J.	Yeldon	JAC	RB	236	200.0	23.5		
J ALL RB BAL	Javorius	Allen	BAL	RB	194	201.0	28.4		
S PER RB WAS	Samaje	Perine	WAS	RB	152	202.0	42.6	Week to week	
C SUT WR DEN	Courtland	Sutton	DEN	WR	144	203.0	34.3		
G ALL WR GB	Geronimo	Allison	GB	WR	251	204.0	22.1		
J WIN QB TB	Jameis	Winston	TB	QB	245	205.0	34.4	Return Week 4	
T TAY WR TEN	Taywan	Taylor	TEN	WR	218	206.0	33.8		Star of Titans camp. Exciting flyer in otherwise injured WR corps.
V MCD TE PIT	Vance	McDonald	PIT	TE	166	207.0	18.1	Week to week	Drew 16 targets in playoff loss. Role to grow post-Martavis Bryant.
T WIL WR DAL	Terrance	Williams	DAL	WR	226	208.0	28.8		Plus-sized RAC beast should get more usage post-Hunter Henry. 
DEF NE			NE	DEF	178	209.0	23.7		
R TAN QB MIA	Ryan	Tannehill	MIA	QB	220	211.0	20.6		
J TUC K BAL	Justin	Tucker	BAL	K	177	212.0	23.8		
T TAY QB CLE	Tyrod	Taylor	CLE	QB	168	213.0	51.9	Day-to-day	
G ZUE K LAR	Greg	Zuerlein	LAR	K	175	214.0	21.3		
M BRY K ATL	Matt	Bryant	ATL	K	184	215.0	24.4		
S WAR RB KC	Spencer	Ware	KC	RB	205	216.0	38.8		
M GES TE MIA	Mike	Gesicki	MIA	TE	247	217.0	30.1		
DEF KC			KC	DEF	299	218.0	40.8		
T BEN WR LAC	Travis	Benjamin	LAC	WR	230	219.0	22.2		
J WAS WR PIT	James	Washington	PIT	WR	143	220.0	26.4		
DEF CAR			CAR	DEF	183	221.0	19.0		
DEF NO			NO	DEF	181	222.0	21.9		
J STE RB NYG	Jonathan	Stewart	NYG	RB	208	224.0	24.2		
H HUR TE BAL	Hayden	Hurst	BAL	TE	257	225.0	19.4	'Week-to-week'	
D SPR RB PHI	Darren	Sproles	PHI	RB	200	226.0	26.5		
D BAI K DAL	Dan	Bailey	DAL	K	223	228.0	34.3		
B MAR WR SEA	Brandon	Marshall	SEA	WR	229	230.0	48.1		
W LUT K NO	Wil	Lutz	NO	K	185	231.0	23.0		
T PRY WR NYJ	Terrelle	Pryor	NYJ	WR	231	233.0	31.9		
C BEA WR DAL	Cole	Beasley	DAL	WR	214	234.0	33.1		
M PRA K DET	Matt	Prater	DET	K	189	235.0	25.4		
DEF ARI			ARI	DEF	222	236.0	31.1		
DEF CHI			CHI	DEF	286	237.0	22.7		
S BRA QB ARI	Sam	Bradford	ARI	QB	270	239.0	31.7		
W SNE WR BAL	Willie	Snead	BAL	WR	227	240.0	34.9		
Z JON WR BUF	Zay	Jones	BUF	WR	262	241.0	26.8		
J ELL K PHI	Jake	Elliott	PHI	K	188	242.0	22.8		
K BAL RB MIA	Kalen	Ballage	MIA	RB	277	243.0	40.5	Day to day	
J HIL RB NE	Jeremy	Hill	NE	RB	112	245.0	44.3		
J FLA QB BAL	Joe	Flacco	BAL	QB	268	246.0	23.8		
DEF ATL			ATL	DEF	253	247.0	21.5		
J BUT TE DEN	Jake	Butt	DEN	TE	289	248.0	30.8		
C PRO RB SEA	C.J.	Prosise	SEA	RB	240	249.0	42.0		
J KEL RB LAR	John	Kelly	LAR	RB	237	250.0	54.8		
E DEC WR NE	Eric	Decker	NE	WR	165				
DEF TEN			TEN	DEF	182				
C BOS K PIT	Chris	Boswell	PIT	K	186				
R GOU K SF	Robbie	Gould	SF	K	187				
H BUT K KC	Harrison	Butker	KC	K	190				
A VIN K IND	Adam	Vinatieri	IND	K	191				
G GAN K CAR	Graham	Gano	CAR	K	192				
C EDM RB ARI	Chase	Edmonds	ARI	RB	201				
E MCG RB NYJ	Elijah	McGuire	NYJ	RB	207			Out Indefinitely	
J CON RB PIT	James	Conner	PIT	RB	209				
T BOY WR CIN	Tyler	Boyd	CIN	WR	217				
DEF WAS			WAS	DEF	221				
R SUC K TEN	Ryan	Succop	TEN	K	224				
A CAL WR CLE	Antonio	Callaway	CLE	WR	232			Day to day	
C COL WR BUF	Corey	Coleman	BUF	WR	233				
R SMI RB DAL	Rod	Smith	DAL	RB	235				
C GRA RB JAC	Corey	Grant	JAC	RB	238				
A BLU RB HOU	Alfred	Blue	HOU	RB	239				
M WAL RB CIN	Mark	Walton	CIN	RB	241				
T AUS RB DAL	Tavon	Austin	DAL	RB	242				
A GAT TE FA	Antonio	Gates	FA	TE	249				
W GAL RB NYG	Wayne	Gallman	NYG	RB	250				
J MOO WR GB	J'Mon	Moore	GB	WR	252				
DEF DAL			DAL	DEF	254				
D CAR K MIN	Daniel	Carlson	MIN	K	255				
M CRO K GB	Mason	Crosby	GB	K	256				
R GRI TE HOU	Ryan	Griffin	HOU	TE	258				
V GRE TE LAC	Virgil	Green	LAC	TE	259				
M VAL WR GB	Marquez	Valdes-Scantling	GB	WR	260				
E ST. WR GB	Equanimeous	St.	GB	WR	261				
A HUM WR TB	Adam	Humphries	TB	WR	263				
J WIL RB SF	Joe	Williams	SF	RB	264			Out indefinitely	
C SIM RB TB	Charles	Sims	TB	RB	265			Out for season	
S DAR QB NYJ	Sam	Darnold	NYJ	QB	269				
K COU WR HOU	Keke	Coutee	HOU	WR	271				
D CHA WR JAC	D.J.	Chark	JAC	WR	272				
R SWI WR OAK	Ryan	Switzer	OAK	WR	273				
D HAM WR DEN	DaeSean	Hamilton	DEN	WR	274				
T SMI WR NO	Tre'Quan	Smith	NO	WR	275				
D HEN RB DEN	De'Angelo	Henderson	DEN	RB	276				
T WES RB NO	Terrance	West	NO	RB	278				
B SCO RB NO	Boston	Scott	NO	RB	279				
J SAM RB PIT	Jaylen	Samuels	PIT	RB	280				
D WIL RB KC	Damien	Williams	KC	RB	281				
T LOG RB ARI	T.J.	Logan	ARI	RB	282				
J JAC RB LAC	Justin	Jackson	LAC	RB	283				
C SAM WR CAR	Curtis	Samuel	CAR	WR	284				
DEF GB			GB	DEF	285				
J LAM K JAC	Josh	Lambo	JAC	K	287				
D HOP K WAS	Dustin	Hopkins	WAS	K	288				
V DAV TE WAS	Vernon	Davis	WAS	TE	290				
T KRO TE CIN	Tyler	Kroft	CIN	TE	291				
B JAR TE DAL	Blake	Jarwin	DAL	TE	292				
G EVE TE LAR	Gerald	Everett	LAR	TE	293			Week to week	
T GAB WR CHI	Taylor	Gabriel	CHI	WR	294			Day to day	
A MCC QB BUF	AJ	McCarron	BUF	QB	296			Status uncertain	
DEF CIN			CIN	DEF	297				
DEF DET			DET	DEF	298				
